nubus/nubus.c 6 14
nubus/proc.c 0 3
zorro/gen-devlist.c 0 2
zorro/zorro-driver.c 0 2
zorro/names.c 0 1
zorro/zorro.c 5 1
edac/i5100_edac.c 11 2
edac/ppc4xx_edac.c 3 0
edac/i5400_edac.c 5 1
edac/i5000_edac.c 8 2
edac/cpc925_edac.c 9 1
edac/i82975x_edac.c 2 0
edac/mpc85xx_edac.c 6 0
edac/i82875p_edac.c 1 0
edac/mce_amd_inj.c 1 0
edac/i3200_edac.c 3 0
edac/amd64_edac.c 10 1
edac/e7xxx_edac.c 1 0
edac/x38_edac.c 3 0
edac/i7300_edac.c 7 1
edac/edac_pci_sysfs.c 0 1
edac/edac_mc_sysfs.c 6 2
edac/i7core_edac.c 11 3
edac/tile_edac.c 2 0
edac/edac_device_sysfs.c 4 2
edac/e752x_edac.c 9 0
edac/i82860_edac.c 1 0
edac/pasemi_edac.c 1 0
edac/edac_mc.c 5 0
edac/i82443bxgx_edac.c 1 1
edac/sb_edac.c 21 1
edac/r82600_edac.c 1 0
edac/edac_device.c 3 0
edac/amd76x_edac.c 1 0
edac/i3000_edac.c 4 0
firmware/dmi-sysfs.c 0 2
firmware/iscsi_ibft_find.c 2 0
firmware/sigma.c 0 1
firmware/dell_rbu.c 0 4
firmware/efivars.c 6 5
firmware/google/memconsole.c 1 0
firmware/edd.c 5 0
firmware/dmi-id.c 1 0
firmware/pcdp.c 2 0
firmware/dmi_scan.c 8 2
firmware/iscsi_ibft.c 2 0
firmware/dcdbas.c 3 2
regulator/lp3972.c 1 0
regulator/ab8500.c 4 1
regulator/db8500-prcmu.c 2 1
regulator/tps65910-regulator.c 1 0
regulator/mc13783-regulator.c 1 0
regulator/max8925-regulator.c 1 0
regulator/mc13xxx-regulator-core.c 1 0
regulator/max8660.c 3 0
regulator/isl6271a-regulator.c 1 0
regulator/mc13892-regulator.c 1 0
regulator/tps65023-regulator.c 3 0
regulator/da903x.c 1 0
regulator/tps65912-regulator.c 1 0
regulator/twl-regulator.c 2 0
regulator/max8952.c 1 0
regulator/aat2870-regulator.c 1 0
regulator/ab3100.c 4 0
regulator/tps6524x-regulator.c 2 0
regulator/max1586.c 2 0
regulator/pcap-regulator.c 1 0
regulator/max8998.c 3 0
regulator/lp3971.c 1 0
regulator/wm831x-dcdc.c 1 0
regulator/wm8350-regulator.c 1 1
regulator/wm831x-isink.c 1 0
regulator/tps6586x-regulator.c 2 0
regulator/core.c 11 1
regulator/gpio-regulator.c 3 0
regulator/88pm8607.c 2 0
regulator/max8997.c 7 0
regulator/tps6507x-regulator.c 4 0
hwspinlock/hwspinlock_core.c 2 0
virt/fsl_hypervisor.c 1 1
idle/intel_idle.c 2 0
idle/i7300_idle.c 2 2
of/base.c 5 6
of/pdt.c 0 2
of/device.c 1 1
of/platform.c 4 0
of/fdt.c 0 6
of/of_net.c 1 0
of/address.c 2 1
of/irq.c 1 3
pps/kapi.c 0 2
pps/generators/pps_gen_parport.c 1 0
clk/clkdev.c 0 1
ssb/scan.c 1 0
ssb/driver_mipscore.c 5 0
ssb/driver_extif.c 1 0
ssb/driver_chipcommon.c 1 0
ssb/sprom.c 0 2
ssb/sdio.c 0 1
ssb/embedded.c 2 0
ssb/main.c 7 6
ssb/pcmcia.c 3 8
ssb/driver_chipcommon_pmu.c 6 0
ssb/pci.c 7 1
ssb/driver_pcicore.c 3 0
hid/hid-roccat-pyra.c 1 0
hid/hid-lg4ff.c 2 1
hid/hid-lgff.c 1 0
hid/hid-logitech-dj.c 3 0
hid/hidraw.c 1 2
hid/hid-tmff.c 1 0
hid/hid-picolcd.c 16 3
hid/hid-debug.c 8 3
hid/hid-holtekff.c 1 0
hid/hid-roccat-kovaplus.c 1 0
hid/hid-prodikeys.c 6 1
hid/hid-apple.c 1 0
hid/usbhid/usbkbd.c 1 0
hid/usbhid/hiddev.c 3 3
hid/usbhid/hid-pidff.c 12 1
hid/usbhid/hid-core.c 4 1
hid/hid-wiimote.c 5 1
hid/hid-roccat-kone.c 1 0
hid/hid-axff.c 4 0
hid/hid-multitouch.c 4 0
hid/hid-roccat.c 1 1
hid/hid-roccat-koneplus.c 1 0
hid/hid-magicmouse.c 1 0
hid/hid-zydacron.c 1 0
hid/hid-primax.c 0 1
hid/hid-input.c 13 0
hid/hid-zpff.c 1 0
hid/hid-core.c 11 2
accessibility/braille/braille_console.c 2 0
bluetooth/btuart_cs.c 1 2
bluetooth/bpa10x.c 0 1
bluetooth/hci_bcsp.c 2 3
bluetooth/ath3k.c 0 2
bluetooth/hci_vhci.c 0 1
bluetooth/dtl1_cs.c 1 2
bluetooth/btmrvl_sdio.c 3 0
bluetooth/btusb.c 4 1
bluetooth/bt3c_cs.c 3 3
bluetooth/btwilink.c 3 0
bluetooth/hci_ll.c 0 1
bluetooth/btsdio.c 0 2
bluetooth/bluecard_cs.c 2 1
bluetooth/hci_ldisc.c 0 1
bluetooth/bfusb.c 0 5
devfreq/devfreq.c 0 1
infiniband/ulp/ipoib/ipoib_main.c 1 5
infiniband/ulp/ipoib/ipoib_cm.c 4 9
infiniband/ulp/ipoib/ipoib_multicast.c 0 7
infiniband/ulp/ipoib/ipoib_fs.c 2 2
infiniband/ulp/ipoib/ipoib_ib.c 8 4
infiniband/ulp/iser/iser_initiator.c 1 0
infiniband/ulp/iser/iser_verbs.c 1 2
infiniband/ulp/iser/iscsi_iser.c 0 2
infiniband/ulp/srp/ib_srp.c 12 6
infiniband/hw/mlx4/qp.c 6 0
infiniband/hw/mlx4/cq.c 1 2
infiniband/hw/mlx4/srq.c 3 0
infiniband/hw/mlx4/main.c 3 0
infiniband/hw/mlx4/mad.c 4 0
infiniband/hw/mlx4/mr.c 3 0
infiniband/hw/ipath/ipath_file_ops.c 19 0
infiniband/hw/ipath/ipath_driver.c 16 1
infiniband/hw/ipath/ipath_user_pages.c 2 0
infiniband/hw/ipath/ipath_init_chip.c 4 1
infiniband/hw/ipath/ipath_eeprom.c 5 5
infiniband/hw/ipath/ipath_verbs_mcast.c 0 3
infiniband/hw/ipath/ipath_rc.c 0 0
