 
diff -u -p a/gpu/drm/nouveau/nvc0_vram.c b/gpu/drm/nouveau/nvc0_vram.c 1
diff -u -p a/gpu/drm/nouveau/nv50_fbcon.c b/gpu/drm/nouveau/nv50_fbcon.c 1
diff -u -p a/gpu/drm/nouveau/nv50_vm.c b/gpu/drm/nouveau/nv50_vm.c 2
diff -u -p a/gpu/drm/nouveau/nv04_fbcon.c b/gpu/drm/nouveau/nv04_fbcon.c 1
diff -u -p a/gpu/drm/nouveau/nvc0_grctx.c b/gpu/drm/nouveau/nvc0_grctx.c 2
diff -u -p a/gpu/drm/nouveau/nouveau_ramht.c b/gpu/drm/nouveau/nouveau_ramht.c 1
diff -u -p a/gpu/drm/nouveau/nv40_graph.c b/gpu/drm/nouveau/nv40_graph.c 1
diff -u -p a/gpu/drm/nouveau/nv04_timer.c b/gpu/drm/nouveau/nv04_timer.c 1
diff -u -p a/gpu/drm/nouveau/nv50_fifo.c b/gpu/drm/nouveau/nv50_fifo.c 1
diff -u -p a/gpu/drm/nouveau/nouveau_bios.c b/gpu/drm/nouveau/nouveau_bios.c 2
diff -u -p a/gpu/drm/nouveau/nouveau_calc.c b/gpu/drm/nouveau/nouveau_calc.c 1
diff -u -p a/gpu/drm/vmwgfx/vmwgfx_fence.c b/gpu/drm/vmwgfx/vmwgfx_fence.c 1
diff -u -p a/gpu/drm/vmwgfx/vmwgfx_execbuf.c b/gpu/drm/vmwgfx/vmwgfx_execbuf.c 1
diff -u -p a/gpu/drm/vmwgfx/vmwgfx_marker.c b/gpu/drm/vmwgfx/vmwgfx_marker.c 1
diff -u -p a/gpu/drm/vmwgfx/vmwgfx_fifo.c b/gpu/drm/vmwgfx/vmwgfx_fifo.c 1
diff -u -p a/gpu/drm/drm_bufs.c b/gpu/drm/drm_bufs.c 4
diff -u -p a/gpu/vga/vgaarb.c b/gpu/vga/vgaarb.c 2
diff -u -p a/hid/hid-lg4ff.c b/hid/hid-lg4ff.c 1
diff -u -p a/hid/hid-wiimote.c b/hid/hid-wiimote.c 1
diff -u -p a/hid/usbhid/hiddev.c b/hid/usbhid/hiddev.c 1
diff -u -p a/hid/usbhid/hid-core.c b/hid/usbhid/hid-core.c 1
diff -u -p a/hid/hid-debug.c b/hid/hid-debug.c 1
diff -u -p a/ide/ide-proc.c b/ide/ide-proc.c 2
diff -u -p a/ide/ide-tape.c b/ide/ide-tape.c 3
diff -u -p a/ide/ide-cd.c b/ide/ide-cd.c 1
diff -u -p a/ide/ns87415.c b/ide/ns87415.c 1
diff -u -p a/ide/tx4939ide.c b/ide/tx4939ide.c 1
diff -u -p a/ide/ide-dma-sff.c b/ide/ide-dma-sff.c 1
diff -u -p a/ide/ide-taskfile.c b/ide/ide-taskfile.c 1
diff -u -p a/ide/buddha.c b/ide/buddha.c 1
diff -u -p a/ide/piix.c b/ide/piix.c 1
diff -u -p a/ide/pmac.c b/ide/pmac.c 2
diff -u -p a/ide/sis5513.c b/ide/sis5513.c 1
diff -u -p a/ide/au1xxx-ide.c b/ide/au1xxx-ide.c 2
diff -u -p a/ide/sgiioc4.c b/ide/sgiioc4.c 2
diff -u -p a/ide/ide-iops.c b/ide/ide-iops.c 3
diff -u -p a/mfd/omap-usb-host.c b/mfd/omap-usb-host.c 5
diff -u -p a/mfd/menelaus.c b/mfd/menelaus.c 1
diff -u -p a/mfd/mc13xxx-core.c b/mfd/mc13xxx-core.c 1
diff -u -p a/mfd/wm831x-irq.c b/mfd/wm831x-irq.c 1
diff -u -p a/mfd/stmpe.c b/mfd/stmpe.c 2
diff -u -p a/mfd/tc3589x.c b/mfd/tc3589x.c 1
diff -u -p a/mfd/ucb1x00-ts.c b/mfd/ucb1x00-ts.c 1
diff -u -p a/mfd/twl4030-power.c b/mfd/twl4030-power.c 1
diff -u -p a/mfd/tps6586x.c b/mfd/tps6586x.c 1
diff -u -p a/mfd/twl4030-irq.c b/mfd/twl4030-irq.c 2
diff -u -p a/mfd/ab5500-core.c b/mfd/ab5500-core.c 1
diff -u -p a/mmc/card/mmc_test.c b/mmc/card/mmc_test.c 2
diff -u -p a/mmc/core/sdio_io.c b/mmc/core/sdio_io.c 1
diff -u -p a/mmc/core/sdio_cis.c b/mmc/core/sdio_cis.c 2
diff -u -p a/mmc/core/sdio_bus.c b/mmc/core/sdio_bus.c 1
diff -u -p a/mmc/host/mmc_spi.c b/mmc/host/mmc_spi.c 2
diff -u -p a/mmc/host/dw_mmc.c b/mmc/host/dw_mmc.c 2
diff -u -p a/mmc/host/at91_mci.c b/mmc/host/at91_mci.c 1
diff -u -p a/mmc/host/jz4740_mmc.c b/mmc/host/jz4740_mmc.c 5
diff -u -p a/mmc/host/sdhci.c b/mmc/host/sdhci.c 7
diff -u -p a/mmc/host/s3cmci.c b/mmc/host/s3cmci.c 2
diff -u -p a/mmc/host/tifm_sd.c b/mmc/host/tifm_sd.c 2
